,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
260,Dawei,100,MM,1567638211,80,14.07,98.19,80.64,11.39
261,Svetlogorsk,40,RU,1567638211,87,53.14,59.15,46.4,6.71
262,Rutana,1,BI,1567638211,53,-3.93,29.99,70.92,4.18
263,Belgaum,100,IN,1567638212,98,15.87,74.5,70.2,7.14
264,Walvis Bay,10,NA,1567638212,87,-22.95,14.51,55.99,8.05
265,Yarim,29,YE,1567638212,64,14.3,44.38,72.0,3.42
266,Banyumas,29,ID,1567638212,80,-7.52,109.29,71.28,3.47
267,Atambua,56,ID,1567638091,70,-9.11,124.89,75.06,6.26
268,Gat,20,SN,1567638202,88,14.69,-16.54,78.8,2.24
269,Male,80,UA,1567638213,95,50.74,33.7,54.9,9.53
270,La Ronge,90,CA,1567638213,72,55.1,-105.3,59.0,10.29
271,Ampanihy,38,MG,1567638213,91,-24.69,44.75,65.16,6.35
272,Magadan,100,RU,1567638214,93,59.56,150.8,54.18,13.31
273,Alofi,100,NU,1567638207,88,-19.06,-169.92,77.22,25.32
274,Saint George,0,GR,1567638214,49,39.45,22.34,77.0,0.49
275,Hofn,1,IS,1567638214,72,64.25,-15.21,32.22,8.03
276,Mutare,0,MZ,1567638214,47,-18.97,32.67,53.1,3.83
277,Alugan,100,PH,1567638214,76,12.22,125.48,82.8,7.09
278,Muros,75,ES,1567638215,82,42.77,-9.06,66.99,11.41
279,Adwa,54,ET,1567638215,83,14.16,38.9,58.5,3.2
280,Berlevag,26,NO,1567638132,74,70.86,29.09,50.58,8.16
281,Lufilufi,90,WS,1567638215,88,-13.87,-171.6,78.8,9.17
282,Fortuna,1,US,1567638216,72,40.6,-124.16,69.01,14.99
283,Vostok,99,RU,1567638216,56,46.45,135.83,71.82,6.87
284,Ust-Maya,47,RU,1567638216,85,60.42,134.54,52.02,4.83
285,Newport,75,US,1567638069,83,41.49,-71.31,75.99,13.87
286,Don Benito,0,ES,1567638216,30,38.95,-5.86,80.01,3.0
287,Okhotsk,0,RU,1567638217,56,59.36,143.24,62.1,11.48
288,Lorengau,76,PG,1567638069,81,-2.02,147.27,81.54,7.83
289,Aklavik,90,CA,1567638217,82,68.22,-135.01,55.4,3.36
290,Akashi,75,JP,1567638217,88,34.68,134.95,80.01,5.82
291,Saint-Francois,0,FR,1567638217,55,46.42,3.91,66.2,5.82
292,Bayir,0,TR,1567638218,83,37.27,28.22,73.4,2.24
293,Cumana,40,VE,1567638218,74,10.46,-64.17,82.4,23.29
294,College,90,US,1567638218,63,64.86,-147.8,61.0,3.36
295,Sitka,0,US,1567638218,36,37.17,-99.65,93.99,10.0
296,Olivehurst,1,US,1567638177,24,39.1,-121.55,99.0,6.93
297,Suntar,97,RU,1567638219,91,62.16,117.65,51.66,6.2
298,Shimoda,75,JP,1567638219,78,34.7,138.93,84.0,8.05
299,Bambanglipuro,20,ID,1567638219,82,-7.95,110.28,73.08,11.32
300,Peterhead,20,AU,1567638219,87,-34.83,138.5,62.01,13.87
301,Syracuse,35,US,1567638220,72,43.05,-76.15,66.2,4.7
302,Fort Nelson,40,CA,1567638220,32,58.81,-122.69,69.8,14.99
303,Aykhal,90,RU,1567638220,100,65.95,111.51,39.2,4.47
304,Marawi,100,PH,1567638220,89,8.0,124.29,75.99,5.01
305,Orzhytsya,94,UA,1567638220,84,49.79,32.7,55.26,7.56
306,Along,100,IN,1567638221,96,28.17,94.8,59.58,1.48
307,San Juan,18,AR,1567638221,31,-31.54,-68.53,37.44,2.57
308,Torrelodones,0,ES,1567638221,38,40.58,-3.93,75.99,10.29
309,Tigil,17,RU,1567638221,64,57.8,158.67,57.24,12.3
310,Ucluelet,20,CA,1567637941,68,48.94,-125.55,73.99,6.93
